TF	eRegulon_name	is_extended	TF2G_sign	R2G_sign	Gene	n_regions	max_importance_x_rho	best_triplet_rank
Ar	Ar_direct_+/+	False	+	+	Golm1	1	0.024146953026721	777
Ar	Ar_direct_+/+	False	+	+	Cfap46	1	0.0077679599281491	851
Ar	Ar_direct_+/+	False	+	+	Rgs14	1	0.0078677431271999	3829
Ar	Ar_direct_+/+	False	+	+	Ovca2	1	0.0033648607458068	4157
Ar	Ar_direct_+/+	False	+	+	Itm2b	1	0.0977986122265854	4187
Ar	Ar_direct_+/+	False	+	+	Grin1	1	0.0001264868986258	4823
Ar	Ar_direct_+/+	False	+	+	Ppp1r1b	1	0.0258747720351968	5889
Ar	Ar_direct_+/+	False	+	+	Napa	1	0.0033854748147274	7409
Ar	Ar_direct_+/+	False	+	+	Nmt1	1	0.0105021691621627	12053
Ar	Ar_direct_+/+	False	+	+	Hexim1	1	0.002840179931445	13268
Arnt	Arnt_direct_+/+	False	+	+	Vps13a	1	0.3723091677564095	900
Arnt	Arnt_direct_+/+	False	+	+	Kcnd2	1	0.1503678766443012	1358
Arnt	Arnt_direct_+/+	False	+	+	Lrrc7	1	0.135313443825614	2860
Arnt	Arnt_direct_+/+	False	+	+	Irgm1	1	0.0057038991102587	3885
Arnt	Arnt_direct_+/+	False	+	+	Rapgef4	1	0.177627664194914	4087
Arnt	Arnt_direct_+/+	False	+	+	Cnot9	2	0.0288658716282102	5736
Arnt	Arnt_direct_+/+	False	+	+	Baz2b	1	0.0874728330265287	6726
Arnt	Arnt_direct_+/+	False	+	+	Nav3	1	0.0557616677259734	7395
Arnt	Arnt_direct_+/+	False	+	+	Iqank1	1	0.0129170848125838	7468
Arnt	Arnt_direct_+/+	False	+	+	Tmem94	1	0.0225874950366764	7538
Arnt	Arnt_direct_+/+	False	+	+	Unc80	1	0.0446007429228053	7866
Arnt	Arnt_direct_+/+	False	+	+	Herc3	1	0.0547214205271261	8023
Arnt	Arnt_direct_+/+	False	+	+	Cacna2d1	1	0.0916760478961547	9084
Arnt	Arnt_direct_+/+	False	+	+	Ptprd	1	0.0900094558468054	9306
Arnt	Arnt_direct_+/+	False	+	+	Gabrb2	1	0.0575913814323102	9469
Arnt	Arnt_direct_+/+	False	+	+	Slc27a2	1	0.0152376215911765	9717
Arnt	Arnt_direct_+/+	False	+	+	Fam83h	1	0.0076382484916837	9751
Arnt	Arnt_direct_+/+	False	+	+	Foxp1	1	0.0186779912769517	11669
Arnt	Arnt_direct_+/+	False	+	+	Phactr1	1	0.0596813043410623	12033
Arnt	Arnt_direct_+/+	False	+	+	Kalrn	1	0.0437545721977562	12657
Arnt	Arnt_direct_+/+	False	+	+	Dclk1	1	0.022119189181835	13339
Arnt	Arnt_direct_+/+	False	+	+	Gm5148	1	0.0082102729670695	14216
Arnt	Arnt_direct_+/+	False	+	+	Cadps	1	0.0365856630646964	14378
