TF	eRegulon_name	is_extended	TF2G_sign	R2G_sign	Gene	n_regions	max_importance_x_rho	best_triplet_rank
Arnt2	Arnt2_extended_+/+	True	+	+	Dtna	1	0.121538589951353	119
Arnt2	Arnt2_extended_+/+	True	+	+	Usp14	1	0.2186049342079975	183
Arnt2	Arnt2_extended_+/+	True	+	+	Prrc2c	1	0.1369203314555569	211
Arnt2	Arnt2_extended_+/+	True	+	+	Vamp4	1	0.1324785695319311	251
Arnt2	Arnt2_extended_+/+	True	+	+	Rock1	1	0.070162035461267	375
Arnt2	Arnt2_extended_+/+	True	+	+	Ahi1	1	0.0879039123218707	392
Arnt2	Arnt2_extended_+/+	True	+	+	Thoc1	1	0.086594844344375	416
Arnt2	Arnt2_extended_+/+	True	+	+	Rragb	1	0.0219613717810783	496
Arnt2	Arnt2_extended_+/+	True	+	+	Ttc17	2	0.0072205846966435	546
Arnt2	Arnt2_extended_+/+	True	+	+	Supt3	1	0.0460536148412616	568
Arnt2	Arnt2_extended_+/+	True	+	+	Tbc1d5	1	0.3374101364982113	588
Arnt2	Arnt2_extended_+/+	True	+	+	Itprid2	2	0.0537902231311617	589
Arnt2	Arnt2_extended_+/+	True	+	+	Cstf2	1	0.2414450251177244	651
Arnt2	Arnt2_extended_+/+	True	+	+	Zfp131	1	0.0458978271930068	954
Arnt2	Arnt2_extended_+/+	True	+	+	Ncoa6	1	0.0579652776872478	986
Arnt2	Arnt2_extended_+/+	True	+	+	Dtx4	1	0.0186385432988056	1007
Arnt2	Arnt2_extended_+/+	True	+	+	Ggt7	1	0.0546808946400215	1061
Arnt2	Arnt2_extended_+/+	True	+	+	Tjp1	1	0.1019762245812003	1203
Arnt2	Arnt2_extended_+/+	True	+	+	Yipf5	1	0.065951819046693	1278
Arnt2	Arnt2_extended_+/+	True	+	+	Ktn1	2	0.1373677978886523	1332
Arnt2	Arnt2_extended_+/+	True	+	+	Pkia	1	0.1343460590064867	1427
Arnt2	Arnt2_extended_+/+	True	+	+	Lingo2	1	0.3084472868350593	1517
Arnt2	Arnt2_extended_+/+	True	+	+	Runx2	1	0.0929218358755222	1518
Arnt2	Arnt2_extended_+/+	True	+	+	Trak1	3	0.0239817896473519	1560
Arnt2	Arnt2_extended_+/+	True	+	+	Narf	1	0.0098844057018722	1804
Arnt2	Arnt2_extended_+/+	True	+	+	Ralyl	1	0.1061401303921111	1825
Arnt2	Arnt2_extended_+/+	True	+	+	Vps41	1	0.1288160448622623	2037
Arnt2	Arnt2_extended_+/+	True	+	+	Ppp4r2	2	0.0685310424510594	2075
Arnt2	Arnt2_extended_+/+	True	+	+	Grik5	2	0.041467936869694	2091
Arnt2	Arnt2_extended_+/+	True	+	+	Asic2	1	0.0187923759300943	2105
Arnt2	Arnt2_extended_+/+	True	+	+	Ctdsp2	1	0.0008856281285441	2218
Arnt2	Arnt2_extended_+/+	True	+	+	Elovl7	1	0.0695548283952724	2229
Arnt2	Arnt2_extended_+/+	True	+	+	Zc2hc1a	1	0.0412112957378578	2297
Arnt2	Arnt2_extended_+/+	True	+	+	Trpc4ap	1	0.0217065167982726	2299
Arnt2	Arnt2_extended_+/+	True	+	+	Coro2b	1	0.0146212852882709	2460
Arnt2	Arnt2_extended_+/+	True	+	+	Wdsub1	1	0.0587077715701954	2504
