TF	eRegulon_name	is_extended	TF2G_sign	R2G_sign	Gene	n_regions	max_importance_x_rho	best_triplet_rank
Arnt2	Arnt2_extended_+/+	True	+	+	Slco4c1	1	0.1203718068906239	460
Arnt2	Arnt2_extended_+/+	True	+	+	Zfp148	1	0.0750822659860643	973
Arnt2	Arnt2_extended_+/+	True	+	+	Tbc1d23	1	0.0730094332565519	2987
Arnt2	Arnt2_extended_+/+	True	+	+	Ppp2r2a	1	0.0234173161962465	3360
Arnt2	Arnt2_extended_+/+	True	+	+	Pou2f2	1	0.0151858576717689	3385
Arnt2	Arnt2_extended_+/+	True	+	+	Lrrc40	1	0.0180881423749327	3925
Arnt2	Arnt2_extended_+/+	True	+	+	Tanc1	1	0.0333385371302389	4268
Arnt2	Arnt2_extended_+/+	True	+	+	Atf7ip	1	0.0071162893421328	4777
Arnt2	Arnt2_extended_+/+	True	+	+	Filip1l	1	0.0281026636285828	4815
Arnt2	Arnt2_extended_+/+	True	+	+	Ankrd39	1	0.0035112402585997	4923
Arnt2	Arnt2_extended_+/+	True	+	+	Gid4	1	0.0062845785865522	5006
Arnt2	Arnt2_extended_+/+	True	+	+	Bicd2	1	0.0060479104785764	5363
Arnt2	Arnt2_extended_+/+	True	+	+	Ttll11	1	0.037587343931529	5484
Arnt2	Arnt2_extended_+/+	True	+	+	Cnr1	1	0.0187566670557224	5541
Arnt2	Arnt2_extended_+/+	True	+	+	Amph	1	0.1233784417823584	5994
Arnt2	Arnt2_extended_+/+	True	+	+	Chd2	1	0.0012486064125408	6031
Arnt2	Arnt2_extended_+/+	True	+	+	Cmss1	1	0.0734749952983424	6373
Arnt2	Arnt2_extended_+/+	True	+	+	Flrt1	1	0.0001735111584764	7203
Arnt2	Arnt2_extended_+/+	True	+	+	Mxd1	1	0.0029795576650332	7262
Arnt2	Arnt2_extended_+/+	True	+	+	C2cd2	1	0.0233517000098748	9342
Arnt2	Arnt2_extended_+/+	True	+	+	Prdm11	1	0.001998284833587	9461
Arnt2	Arnt2_extended_+/+	True	+	+	Phactr1	1	0.0764530086891857	9677
Arnt2	Arnt2_extended_+/+	True	+	+	Col26a1	1	0.0240174932348425	10070
Arnt2	Arnt2_extended_+/+	True	+	+	Acsl3	1	0.0250183962856348	10119
Arnt2	Arnt2_extended_+/+	True	+	+	Utp14b	1	0.0138808258492213	10133
Arnt2	Arnt2_extended_+/+	True	+	+	Syt13	1	0.0080231092863834	10574
Arnt2	Arnt2_extended_+/+	True	+	+	Wdr17	3	0.007649089571844	11784
Arnt2	Arnt2_extended_+/+	True	+	+	Pxdn	1	0.0094512986482048	11785
Arnt2	Arnt2_extended_+/+	True	+	+	Atf1	1	0.0205671610975355	12369
Arnt2	Arnt2_extended_+/+	True	+	+	Cux2	1	0.0312899666618723	13064
Arnt2	Arnt2_extended_+/+	True	+	+	Gns	3	0.0112973034404071	13267
Arnt2	Arnt2_extended_+/+	True	+	+	Ankrd35	1	0.0038957416091451	13484
Arnt2	Arnt2_extended_+/+	True	+	+	Nup133	2	0.0041356484782687	13563
Arnt2	Arnt2_extended_+/+	True	+	+	Socs3	1	0.0083312349105542	13750
Arnt2	Arnt2_extended_+/+	True	+	+	Dtna	1	0.0008311776372404	13812
Arnt2	Arnt2_extended_+/+	True	+	+	Krt12	1	0.0356634645429353	13899
Arnt2	Arnt2_extended_+/+	True	+	+	Ncoa2	1	0.0057411725447548	13926
Arnt2	Arnt2_extended_+/+	True	+	+	Gmcl1	1	0.0043009507105985	14115
Arnt2	Arnt2_extended_+/+	True	+	+	Dip2b	1	0.044196400425805	14116
Arnt2	Arnt2_extended_+/+	True	+	+	Trio	1	0.0182086141233329	14130
Arnt2	Arnt2_extended_+/+	True	+	+	Taf5l	1	0.0031621360097593	14319
Arnt2	Arnt2_extended_+/+	True	+	+	Gsg1l	1	0.0470852660626144	14577
Arnt2	Arnt2_extended_+/+	True	+	+	Serpine1	1	0.0037059535338524	14722
Arnt2	Arnt2_extended_+/+	True	+	+	Pml	2	0.0010060407346785	14778
Arnt2	Arnt2_extended_+/+	True	+	+	Aldh1l1	1	0.0026911157297009	14866
Arnt2	Arnt2_extended_+/+	True	+	+	Kalrn	2	0.0364018104510508	15367
Arnt2	Arnt2_extended_+/+	True	+	+	H6pd	1	0.0051862059929131	15965
Arnt2	Arnt2_extended_+/+	True	+	+	Igsf9b	1	0.0426212116914154	16012
Arnt2	Arnt2_extended_+/+	True	+	+	Rbm15	1	0.0075107308164413	16446
Arnt2	Arnt2_extended_+/+	True	+	+	Plekhm1	1	0.0184020770171444	16491
Arnt2	Arnt2_extended_+/+	True	+	+	Tm9sf2	1	0.028105197159294	16492
Arnt2	Arnt2_extended_+/+	True	+	+	Vgf	1	0.0517808807606258	16740
Arnt2	Arnt2_extended_+/+	True	+	+	Trim9	1	0.0619900859853592	16892
Arnt2	Arnt2_extended_+/+	True	+	+	Sytl2	1	0.0084805786563309	16914
Arnt2	Arnt2_extended_+/+	True	+	+	Cpeb1	1	0.0024451543678706	16992
Arnt2	Arnt2_extended_+/+	True	+	+	Dlgap1	1	0.0153769279627666	17565
Arnt2	Arnt2_extended_+/+	True	+	+	Pqlc2	1	0.0085514376126367	17907
Arnt2	Arnt2_extended_+/+	True	+	+	Tmem9	1	0.0019688296167197	18011
Arnt2	Arnt2_extended_+/+	True	+	+	Pla2g5	1	0.0040053854641719	18059
Arnt2	Arnt2_extended_+/+	True	+	+	Ak2	1	0.0032654768421219	18420
Arnt2	Arnt2_extended_+/+	True	+	+	Add3	2	0.0171640481624239	18526
Arnt2	Arnt2_extended_+/+	True	+	+	Epb41l4b	1	0.003395226315363	19231
Arnt2	Arnt2_extended_+/+	True	+	+	S100pbp	1	0.0018819317227871	19323
Arnt2	Arnt2_extended_+/+	True	+	+	Rock2	1	0.0215526405428518	19527
Arnt2	Arnt2_extended_+/+	True	+	+	Cln5	1	0.0055562477584896	19598
Arnt2	Arnt2_extended_+/+	True	+	+	Cep70	1	0.0126845201990107	19729
Arnt2	Arnt2_extended_+/+	True	+	+	Rnf44	1	0.0022323997614141	19750
Arnt2	Arnt2_extended_+/+	True	+	+	Atf6	1	0.0053003742665548	19964
Arnt2	Arnt2_extended_+/+	True	+	+	Traf3ip1	1	0.0013655063531302	19976
Arnt2	Arnt2_extended_+/+	True	+	+	Zfp719	1	0.0073577297891539	20073
Arnt2	Arnt2_extended_+/+	True	+	+	Vps45	1	0.0003561556909095	20256
Arnt2	Arnt2_extended_+/+	True	+	+	Ovol2	1	0.0185054158563066	20462
Arnt2	Arnt2_extended_+/+	True	+	+	Whamm	1	0.0013995154143259	20488
Arnt2	Arnt2_extended_+/+	True	+	+	Dctn4	1	0.0056933660723534	20751
Arnt2	Arnt2_extended_+/+	True	+	+	Plcd3	2	0.0012835876962098	20844
Arnt2	Arnt2_extended_+/+	True	+	+	Nsmf	1	0.0004790148032603	20870
Arnt2	Arnt2_extended_+/+	True	+	+	Tspan14	1	0.003971363493285	21151
Arnt2	Arnt2_extended_+/+	True	+	+	Clk3	1	0.0157257815639721	21731
Arnt2	Arnt2_extended_+/+	True	+	+	Rybp	1	0.0100405244328616	21909
Arnt2	Arnt2_extended_+/+	True	+	+	Slc9a3	1	0.0026439922183287	22125
Arnt2	Arnt2_extended_+/+	True	+	+	Mpv17	1	0.0024394652024731	22822
Arnt2	Arnt2_extended_+/+	True	+	+	Ift81	1	0.0019253028919631	22906
Arnt2	Arnt2_extended_+/+	True	+	+	C130074G19Rik	1	0.0154640706364355	23248
Arnt2	Arnt2_extended_+/+	True	+	+	Cep85	1	0.0219003146130855	23296
Arnt2	Arnt2_extended_+/+	True	+	+	6430548M08Rik	1	0.0058227780066096	23395
Arnt2	Arnt2_extended_+/+	True	+	+	Kidins220	1	0.0055771352423907	23881
Arnt2	Arnt2_extended_+/+	True	+	+	Cox16	1	0.0197741281340326	24059
Arnt2	Arnt2_extended_+/+	True	+	+	Ttc3	1	0.0019289836861215	24084
Arnt2	Arnt2_extended_+/+	True	+	+	Kremen1	1	0.0013502824297415	24341
Arnt2	Arnt2_extended_+/+	True	+	+	Atp2b1	1	0.0254466245330528	24450
Arnt2	Arnt2_extended_+/+	True	+	+	Mapre2	1	0.0021273921478361	24632
Arnt2	Arnt2_extended_+/+	True	+	+	Scrt2	1	0.0016469870193278	24673
Arnt2	Arnt2_extended_+/+	True	+	+	R3hdm1	1	0.0004616679809025	24932
Arnt2	Arnt2_extended_+/+	True	+	+	Lpcat3	1	0.0028749297837256	25193
Arnt2	Arnt2_extended_+/+	True	+	+	Zfp322a	1	0.0026290807040218	25216
Arnt2	Arnt2_extended_+/+	True	+	+	Rskr	1	0.0075587828650768	25236
Arnt2	Arnt2_extended_+/+	True	+	+	Celf2	1	0.0004134165617985	25497
Arnt2	Arnt2_extended_+/+	True	+	+	Meaf6	2	0.0044853097123572	25505
Arnt2	Arnt2_extended_+/+	True	+	+	Ppfia2	1	0.0204420430473052	25821
Arnt2	Arnt2_extended_+/+	True	+	+	Gm49380	1	0.0016430560449843	26180
Arnt2	Arnt2_extended_+/+	True	+	+	Txnrd2	1	0.0038771624371638	26797
Arnt2	Arnt2_extended_+/+	True	+	+	Sh2d4b	1	0.0028313776205752	26932
Arnt2	Arnt2_extended_+/+	True	+	+	Ephx2	1	0.0029625060083322	26972
Arnt2	Arnt2_extended_+/+	True	+	+	Cd164l2	1	0.0034849231489796	27008
Arnt2	Arnt2_extended_+/+	True	+	+	Nt5m	1	0.0025875674129869	27152
Arnt2	Arnt2_extended_+/+	True	+	+	Hnrnpul1	2	0.0051363381614284	27424
Arnt2	Arnt2_extended_+/+	True	+	+	Gas7	1	0.0067316338216401	27460
Arnt2	Arnt2_extended_+/+	True	+	+	Spata32	2	0.0018972592682826	27574
Arnt2	Arnt2_extended_+/+	True	+	+	Scn8a	1	0.0042457754541127	27704
Arnt2	Arnt2_extended_+/+	True	+	+	Tet3	1	0.0069809295970152	27884
Arnt2	Arnt2_extended_+/+	True	+	+	Smim14	1	0.0023115313774982	27942
Arnt2	Arnt2_extended_+/+	True	+	+	Elavl1	1	0.0060840642047501	27999
Arnt2	Arnt2_extended_+/+	True	+	+	Hps4	1	0.0018408250147054	28011
